Study,Authors,Year..online.,Year..print.,Title,Journal,Pub.year.IF,X2017.IF,Average.n,Effect.type,Species,Climate..FishBase.,Env.cue.stimulus.,Cue.stimulus.type,Behavioural.metric,Life.stage,ctrl.n,ctrl.mean,ctrl.sd,oa.n,oa.mean,oa.sd,lnRR,lnRR_var
a1,Munday et al,2009,2009,Ocean acidification impairs olfactory discrimination and homing ability of marine fish.,PNAS,9.432,9.504,27,Strong,Amphiprion percula,Trop,Yes,Habitat,% time in Xanthostemon cue,Larvae,26,94.129,2.9931,46,72.789,13.273,-0.2571013370120939,7.617397000120197e-4
a1,Munday et al,2009,2009,Ocean acidification impairs olfactory discrimination and homing ability of marine fish.,PNAS,9.432,9.504,27,Strong,Amphiprion percula,Trop,Yes,Habitat,% time in Melaleuca cue,Larvae,20,0.783,3.5017,46,83.562,10.6211,4.670211454290344,1.0003612294810313
a1,Munday et al,2009,2009,Ocean acidification impairs olfactory discrimination and homing ability of marine fish.,PNAS,9.432,9.504,27,Strong,Amphiprion percula,Trop,Yes,Habitat,% time in Grass cue,Larvae,20,46.38,14.0023,46,71.429,13.273,0.4318356175214929,0.005307935525111031
a1,Munday et al,2009,2009,Ocean acidification impairs olfactory discrimination and homing ability of marine fish.,PNAS,9.432,9.504,27,Strong,Amphiprion percula,Trop,Yes,Habitat,% time in anemone cue,Larvae,10,98.826,1.8563,16,88.258,7.044,-0.1130963847657181,4.3339889692076784e-4
a1,Munday et al,2009,2009,Ocean acidification impairs olfactory discrimination and homing ability of marine fish.,PNAS,9.432,9.504,27,Strong,Amphiprion percula,Trop,Yes,Kin,% time in Parent vs Seawater cue,Larvae,30,0.912,2.996,20,99.818,0.0045,4.6954638166836276,0.3597267108844245
a1,Munday et al,2009,2009,Ocean acidification impairs olfactory discrimination and homing ability of marine fish.,PNAS,9.432,9.504,27,Strong,Amphiprion percula,Trop,Yes,Kin,% time in Non-parent vs Seawater cue,Larvae,30,90.876,3.9984,20,99.818,0.0045,0.09385258785613565,6.45287869446826e-5
a1,Munday et al,2009,2009,Ocean acidification impairs olfactory discrimination and homing ability of marine fish.,PNAS,9.432,9.504,27,Strong,Amphiprion percula,Trop,Yes,Kin,% time in Non-parent vs Parent cue,Larvae,30,96.35,3.9984,20,49.635,2.4463,-0.6632911648186902,1.788591803075579e-4
a2,Dixson et al,2009,2010,Ocean acidification disrupts the innate ability of fish to detect predator olfactory cues,Ecol Lett,10.318,9.137,15,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in predator cue, newly hatched, untreat vs.  pred 1",Larvae,45,9.647,10.6459,45,7.937,7.0973,-0.19511161607967806,0.044831407114148486
a2,Dixson et al,2009,2010,Ocean acidification disrupts the innate ability of fish to detect predator olfactory cues,Ecol Lett,10.318,9.137,15,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in predator cue, newly hatched, untreat vs. pred 2",Larvae,45,10.064,0.0067,45,10.582,7.0973,0.05018974452385531,0.0099962872153291
a2,Dixson et al,2009,2010,Ocean acidification disrupts the innate ability of fish to detect predator olfactory cues,Ecol Lett,10.318,9.137,15,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in non-predator cue, newly hatched, untreat vs.  Non-pred 1",Larvae,45,14.054,3.6291,45,14.516,3.609,0.032344436580817905,0.002855408197583665
a2,Dixson et al,2009,2010,Ocean acidification disrupts the innate ability of fish to detect predator olfactory cues,Ecol Lett,10.318,9.137,15,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in non-predator cue, newly hatched, untreat vs.  Non-pred 2",Larvae,45,12.973,10.8807,45,1.613,7e-4,-2.0847744754458035,0.015632212090927872
a2,Dixson et al,2009,2010,Ocean acidification disrupts the innate ability of fish to detect predator olfactory cues,Ecol Lett,10.318,9.137,15,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in predator cue, newly hatched, pred 1 vs. non-pred 1",Larvae,45,11.111,7.0973,45,11.111,0.0067,0,0.009067089533283956
a2,Dixson et al,2009,2010,Ocean acidification disrupts the innate ability of fish to detect predator olfactory cues,Ecol Lett,10.318,9.137,15,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in predator cue, newly hatched, non-pred 2 vs. pred 2",Larvae,45,10.582,7e-4,45,8.993,7.0973,-0.16270794754956158,0.013840909487374261
a2,Dixson et al,2009,2010,Ocean acidification disrupts the innate ability of fish to detect predator olfactory cues,Ecol Lett,10.318,9.137,15,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in predator cue, settlement stg, untreat vs.  pred 1",Larvae,45,1e-4,7e-4,45,99.9999,7e-4,13.815509557963773,1.0888888888899777
a2,Dixson et al,2009,2010,Ocean acidification disrupts the innate ability of fish to detect predator olfactory cues,Ecol Lett,10.318,9.137,15,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in predator cue, settlement stg, untreat vs. pred 2",Larvae,45,1e-4,7e-4,45,99.9999,7e-4,13.815509557963773,1.0888888888899777
a2,Dixson et al,2009,2010,Ocean acidification disrupts the innate ability of fish to detect predator olfactory cues,Ecol Lett,10.318,9.137,15,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in non-predator cue, settlement stg, untreat vs. non-pred 1",Larvae,45,50.27,7e-4,45,99.9999,7e-4,0.6877607082831074,5.397784921251211e-12
a2,Dixson et al,2009,2010,Ocean acidification disrupts the innate ability of fish to detect predator olfactory cues,Ecol Lett,10.318,9.137,15,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in non-predator cue, settlement stg, untreat vs. non-pred 2",Larvae,45,50.811,7e-4,45,99.9999,7e-4,0.6770563194104974,5.306517221253975e-12
a2,Dixson et al,2009,2010,Ocean acidification disrupts the innate ability of fish to detect predator olfactory cues,Ecol Lett,10.318,9.137,15,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in predator cue, settlement stg, pred 1 vs. non-pred 1",Larvae,45,1e-4,7e-4,45,49.206,3.5486,13.106355939258512,1.0890044643029682
a2,Dixson et al,2009,2010,Ocean acidification disrupts the innate ability of fish to detect predator olfactory cues,Ecol Lett,10.318,9.137,15,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in predator cue, settlement stg, non-pred 2 vs. pred 2",Larvae,45,1e-4,7e-4,45,49.206,7e-4,13.106355939258512,1.088888888893386
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 1 dph, 550ppm (Fig 1)",Larvae,22,11.899,2.025,22,9.873,1.772,-0.18665060434370384,0.002780676784923224
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 1 dph, 700ppm (Fig 1)",Larvae,22,11.899,2.025,22,14.177,2.785,0.17516657016247802,0.0030705752405960594
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 1 dph, 850ppm (Fig 1)",Larvae,22,11.899,2.025,22,18.481,1.772,0.440288814330603,0.0017343384437775021
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 2 dph, 550ppm (Fig 1)",Larvae,22,11.646,2.532,22,12.658,4.304,0.08332665293818521,0.00740380732577915
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 2 dph, 700ppm (Fig 1)",Larvae,22,11.646,2.532,22,15.443,4.304,0.28219305282593565,0.005679259299450544
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 2 dph, 850ppm (Fig 1)",Larvae,22,11.646,2.532,22,82.785,1.772,1.961284112144646,0.002169403915831341
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 3 dph, 550ppm (Fig 1)",Larvae,22,11.392,2.278,22,12.152,2.532,0.06458241062385177,0.0037909165510073705
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 3 dph, 700ppm (Fig 1)",Larvae,22,11.392,2.278,22,22.025,4.304,0.6592668171526233,0.003553304803986381
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 3 dph, 850ppm (Fig 1)",Larvae,22,11.392,2.278,22,83.038,4.81,1.9863869796794957,0.001970058872196991
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 4 dph, 550ppm (Fig 1)",Larvae,20,9.62,3.038,20,11.646,2.278,0.19111850873731326,0.006899534344425442
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 4 dph, 700ppm (Fig 1)",Larvae,20,9.62,3.038,20,44.051,32.658,1.521503788922495,0.03246781772668332
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 4 dph, 850ppm (Fig 1)",Larvae,20,9.62,3.038,20,87.848,3.291,2.2117637836177972,0.0050566668332238
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 5 dph, 550ppm (Fig 1)",Larvae,20,11.899,3.038,20,11.139,2.785,-0.06600189910996367,0.006384863200952188
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 5 dph, 700ppm (Fig 1)",Larvae,20,11.899,3.038,20,30.633,28.101,0.9456234962684943,0.045335306538200566
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 5 dph, 850ppm (Fig 1)",Larvae,20,11.899,3.038,20,87.595,3.038,1.996269555714769,0.003319445336434469
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 6 dph, 550ppm (Fig 1)",Larvae,22,9.62,2.278,22,8.861,3.797,-0.08218463961244961,0.010895075017696626
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 6 dph, 700ppm (Fig 1)",Larvae,22,9.62,2.278,22,41.519,35.949,1.4623068891115552,0.03662546556530771
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 6 dph, 850ppm (Fig 1)",Larvae,22,9.62,2.278,22,87.089,4.051,2.2030863195865553,0.0026471434756400944
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 8 dph, 550ppm (Fig 1)",Larvae,18,1e-4,1e-4,22,1e-4,1e-4,0,0.10101010101010102
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 8 dph, 700ppm (Fig 1)",Larvae,18,1e-4,1e-4,22,43.544,42.532,12.984112293108081,0.09892184727943129
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 8 dph, 850ppm (Fig 1)",Larvae,18,1e-4,1e-4,22,98.481,2.532,13.800204008146887,0.0555856024659688
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 10 dph, 550ppm (Fig 1)",Larvae,25,1e-4,1e-4,25,1e-4,1e-4,0,0.08
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 10 dph, 700ppm (Fig 1)",Larvae,25,1e-4,1e-4,25,44.337,42.892,13.002159914876728,0.07743518453052216
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 10 dph,850ppm (Fig 1)",Larvae,25,1e-4,1e-4,25,93.735,4.337,13.750812024025338,0.040085631838467244
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in cue, day 1, 550ppm (Fig 2a)",Larvae,10,1e-4,1e-4,10,1e-4,1e-4,0,0.2
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in cue, day 1, 700ppm (Fig 2a)",Larvae,10,1e-4,1e-4,10,1e-4,1e-4,0,0.2
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in cue, day 1, 850ppm (Fig 2a)",Larvae,10,1e-4,1e-4,10,0.563,0.563,8.635864721133736,0.2
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in cue, day 2, 550ppm (Fig 2a)",Larvae,10,1e-4,1e-4,10,1e-4,1e-4,0,0.2
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in cue, day 2, 700ppm (Fig 2a)",Larvae,10,1e-4,1e-4,10,7.324,20.563,11.201496998788446,0.888272325619131
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in cue, day 2, 850ppm (Fig 2a)",Larvae,10,1e-4,1e-4,10,79.437,7.042,13.585304626649556,0.10078586215135213
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in cue, day 3, 550ppm (Fig 2a)",Larvae,10,1e-4,1e-4,10,1e-4,1e-4,0,0.2
